stkcd,fixed_assets_net,total_liab,total_assets,year,net_profit,depreciation,soe,ind_code,listing_state,m2_growth,lev,npr,size,tang,ndts,total_assets_lag1,growth,ind1,is_finance
300391,1913967101.32,1664620819.3,3578587920.62,2022,71825696.34999999,1523710436.22,0,C38,,11.81003437199093,.4651613586768046,.0200709603741009,21.99823412396784,.5348386413231955,.4257853851907076,4214473787.82,-.150881438398724,C,0
300391,2428435632.11,1017321429.54,3445757061.65,2023,-681010132.28,938271821.73,0,C38,,9.698250482791909,.2952388724273138,-.1917618816239688,21.96040947391639,.7047611275726863,.272297728755349,3578587920.62,-.0371182326427197,C,0
300391,2417072664.43,-421355022.31,1995717642.12,2024,-1427715774.05,138602676.12,0,C27,,7.274370826491445,.0965689401431492,-.2449934065772709,21.41426954296528,.9034310598568509,.0880465366769695,3445757061.65,-.2686057675263196,C,0
300393,714991484.72,883173917.4,1598165402.12,2015,131793104.68,938010910.54,0,C39,,13.34310844471526,.5526173425031297,.0824652470296089,21.19212218464128,.4473826574968704,.5869298066994247,1055220167.3,.5145326555018732,C,0
300393,2472023928.19,997621939.79,3469645867.98,2016,209577828.75,1648364177.71,0,C39,,11.33311636279569,.2875284619092286,.0604032332763731,21.96731837036,.7124715380907714,.4750813888305161,1598165402.12,1.171018008134479,C,0
300393,3541989529.41,2651671018.25,6193660547.66,2017,323280908.55,3271949766.67,0,C39,,9.042748404443584,.4281266300995162,.0521954514720923,22.54679211358268,.5718733699004838,.528273989427167,3469645867.98,.7850987631962276,C,0
300393,3433704185.54,2567796116.69,6001500302.23,2018,156540296.99,2621481055.25,0,C39,,8.076331386414997,.4278590331380763,.0260835273026369,22.51527532528875,.5721409668619238,.4368042861342399,6193660547.66,-.0310253111147009,C,0
300393,5094369217.38,3500621700.71,8594990918.09,2019,348637520.02,2326851951.52,0,C39,,8.744772290921404,.4072862594121178,.0405628724151666,22.87444541913029,.5927137405878823,.2707218627331696,6001500302.23,.4321403791142571,C,0
300393,5276587604.48,4440101325.95,9716688930.43,2020,211428559.21,4440657927.94,0,C39,,10.08347580099083,.4569562077926383,.0217593215882278,22.99711075236858,.5430437922073615,.4570134908850564,8594990918.09,.1305060148439653,C,0
300393,8072145614.76,4067005410.98,12139151025.74,2021,-417885781.16,5651702095.31,0,C39,,8.967617464089015,.3350321124068951,-.0344246298834169,23.21970168815053,.6649678875931049,.4655763886062596,9716688930.43,.2493094214144814,C,0
300393,12372099566.27,4631176242.52,17003275808.79,2022,635469988.4400001,10302822437.99,0,C39,,11.81003437199093,.2723696477431644,.0373733859043496,23.55667185707411,.7276303522568357,.6059316189333269,12139151025.74,.4006972788077233,C,0
300393,11872881572.14,5226633451.14,17099515023.28,2023,770576974.92,12989728392.88,1,C39,,9.698250482791909,.3056597478948521,.045064259066465,23.56231593884114,.6943402521051479,.7596547840798547,17003275808.79,.0056600396048536,C,0
300393,12516752920.12,4099805959.86,16616558879.98,2024,-1027363487.93,6805352254.16,1,C38,,7.274370826491445,.2467301436761096,-.0618276922045388,23.53366555800393,.7532698563238904,.4095524412313334,17099515023.28,-.0282438503456083,C,0
300394,58909564.95,757089391.66,815998956.61,2016,142337121.45,300290696.48,0,C39,,11.33311636279569,.927806813387685,.1744329699161966,20.51992363426335,.0721931866123149,.3680037750630624,707424429.72,.1534786223497738,C,0
300394,79016055.19,810409181.58,889425236.77,2017,125933765.22,359852984.24,0,C39,,9.042748404443584,.911160542872663,.1415900516577828,20.6060860106889,.088839457127337,.404590480866978,815998956.61,.0899833015290159,C,0
300394,123099100.63,1071903182.22,1195002282.85,2018,155183736.86,454560529.37,0,C39,,8.076331386414997,.896988397096266,.1298606195880206,20.90141393266279,.1030116029037342,.3803846535639278,889425236.77,.3435668715559735,C,0
300394,173223754.73,1171495579.8,1344719334.53,2019,192040376.21,547482694.64,0,C39,,8.744772290921404,.8711822234707852,.1428107496328377,21.01945115501303,.1288177765292148,.4071352888157539,1195002282.85,.1252859963772914,C,0
300394,228262193.34,1377455783.34,1605717976.68,2020,321800446.43,887955461.29,0,C39,,10.08347580099083,.8578441565361574,.2004090700257078,21.19683683099813,.1421558434638425,.5529959022604619,1344719334.53,.1940915367601397,C,0
300394,214733021.41,2336346678.71,2551079700.12,2021,345307839.24,1211599484.91,0,C39,,8.967617464089015,.9158266120027928,.1353575269419286,21.65978251831502,.0841733879972073,.4749359594108361,1605717976.68,.5887470509576284,C,0
300394,263905116.05,2637016009.58,2900921125.63,2022,451150843.52,1377644852.11,0,C39,,11.81003437199093,.9090271315140679,.1555198586869619,21.78829415303285,.0909728684859321,.4748991070244329,2551079700.12,.1371346514550463,C,0
300394,535012521.09,3363210731.83,3898223252.92,2023,840987459.54,2180806128.86,0,C39,,9.698250482791909,.8627547766308038,.2041927943642431,22.0837867101013,.1372452233691962,.5594359243602703,2900921125.63,.3437880880244248,C,0
300394,750727452.6,3985998723.7,4736726176.3,2024,1535089061.24,3396654819.74,0,C39,,7.274370826491445,.8415092144535963,.191679237069291,22.27861205391852,.1584907855464037,.7170891230181327,3898223252.92,.2150987434472645,C,0
300394,936624190.15,5512678121.91,6449302312.06,2025,2343876181.15,5237734236.25,0,C39,,8.535829132077254,.8547712380611245,.2089896589914299,22.58723779323057,.1452287619388753,.812139667643676,4736726176.3,.3615526994844666,C,0
300395,147713438.09,719579975.1799999,867293413.27,2015,98593023.51000001,291709312.52,0,C30,,13.34310844471526,.8296845844440711,.1136789718467592,20.58088790110261,.1703154155559289,.3363444343710091,757523211.61,.1449067170188754,C,0
300395,218761704.9,816465697.8,1035227402.7,2016,129861260.2,401469668.26,0,C30,,11.33311636279569,.7886824630709709,.1254422553550127,20.75788695228405,.211317536929029,.387808192879089,867293413.27,.1936299605883436,C,0
300395,256700076.76,908043929.15,1164744005.91,2017,142903051.29,443703237.75,0,C30,,9.042748404443584,.7796081581381966,.1226905230375937,20.87576716240196,.2203918418618033,.3809448561217021,1035227402.7,.1251093265810052,C,0
300395,338180736.49,1058922666.72,1397103403.21,2018,185778600.75,586504700.33,0,C30,,8.076331386414997,.7579415126231943,.1329741236927439,21.05766693252785,.2420584873768057,.4198004950688979,1164744005.91,.1994939627257068,C,0
300395,257877373.54,1903660050.59,2161537424.13,2019,218713145.92,740771918.87,0,C30,,8.744772290921404,.8806972432393607,.1011840662476756,21.4940855758846,.1193027567606392,.342706034418143,1397103403.21,.5471563659236877,C,0
